"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"292","Jarrell Brantley","PF","26","UTA","4","0","9.8","2","3.5","0.571","1","2.3","0.444","1","1.3","0.8","0.714","0.5","0.5","1","0.3","1.3","1.5","0.8","0","0.5","0.5","0.8","5.5"
"293","Christian Braun","SG","21","DEN","76","6","15.5","1.9","3.8","0.495","0.4","1.3","0.354","1.4","2.5","0.565","0.554","0.5","0.8","0.625","0.6","1.8","2.4","0.8","0.5","0.2","0.5","1.3","4.7"
"294","Mikal Bridges","SF","26","TOT","83","83","35.7","7.1","15.3","0.468","2","5.3","0.382","5.1","9.9","0.514","0.535","3.8","4.3","0.895","1","3.4","4.4","3.3","1.1","0.7","1.5","1.9","20.1"
"295","Mikal Bridges","SF","26","PHO","56","56","36.4","6.3","13.6","0.463","1.8","4.7","0.387","4.5","9","0.503","0.529","2.8","3.1","0.897","1","3.3","4.3","3.6","1.2","0.8","1.4","2.1","17.2"
"296","Mikal Bridges","SF","26","BRK","27","27","34.2","8.9","18.6","0.475","2.5","6.7","0.376","6.3","11.9","0.531","0.543","5.9","6.6","0.894","0.9","3.6","4.5","2.7","1","0.6","1.8","1.6","26.1"
"297","Oshae Brissett","SF","24","IND","65","2","16.7","1.9","4.9","0.386","0.7","2.4","0.31","1.2","2.5","0.457","0.461","1.6","2.2","0.717","1","2.4","3.4","0.7","0.5","0.2","0.5","1.2","6.1"
"298","Malcolm Brogdon","PG","30","BOS","67","0","26","5.3","10.9","0.484","2","4.4","0.444","3.3","6.5","0.51","0.574","2.4","2.7","0.87","0.6","3.6","4.2","3.7","0.7","0.3","1.5","1.6","14.9"
"299","Dillon Brooks","SF","27","MEM","73","73","30.3","5.4","13.6","0.396","2","6","0.326","3.4","7.6","0.451","0.468","1.6","2.1","0.779","0.6","2.7","3.3","2.6","0.9","0.2","1.4","3.3","14.3"
"300","Bruce Brown","SG","26","DEN","80","31","28.5","4.5","9.3","0.483","1.1","3.2","0.358","3.3","6.1","0.548","0.545","1.5","1.9","0.758","0.8","3.3","4.1","3.4","1.1","0.6","1.5","2.4","11.5"
"301","Greg Brown III","PF","21","POR","16","0","5.8","0.7","1.8","0.393","0.1","0.4","0.143","0.6","1.3","0.476","0.411","0.3","0.8","0.417","0.1","1.1","1.2","0.2","0.3","0.3","0.4","0.8","1.8"
"302","Jaylen Brown","SF","26","BOS","67","67","35.9","10.1","20.6","0.491","2.4","7.3","0.335","7.7","13.4","0.576","0.55","3.9","5.1","0.765","1.2","5.7","6.9","3.5","1.1","0.4","2.9","2.6","26.6"
"303","Kendall Brown","SG","19","IND","6","0","6.7","0.7","1.2","0.571","0","0.2","0","0.7","1","0.667","0.571","0.2","0.3","0.5","0.3","0.7","1","0.5","0.7","0","0.3","1.5","1.5"
"304","Moses Brown","C","23","TOT","36","1","8.2","1.7","2.7","0.635","0","0","0","1.7","2.7","0.635","0.635","0.9","2","0.458","1.6","2.3","3.9","0.1","0.1","0.4","0.4","1.1","4.3"
"305","Moses Brown","C","23","LAC","34","1","8.5","1.8","2.8","0.635","0","0","0","1.8","2.8","0.635","0.635","1","2.1","0.458","1.7","2.4","4.1","0.1","0.1","0.4","0.4","1.1","4.6"
"306","Moses Brown","C","23","BRK","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.5","0.5","0"
"307","Sterling Brown","SG","27","LAL","4","0","6","0","1","0","0","0.5","0","0","0.5","0","0","0","0","0","0.8","1.3","2","0.5","0.8","0","0","1","0"
"308","Troy Brown Jr.","SF","23","LAL","76","45","24.5","2.6","6.1","0.43","1.4","3.7","0.381","1.2","2.4","0.505","0.545","0.4","0.5","0.872","0.8","3.2","4.1","1.3","0.8","0.2","0.6","1.6","7.1"
"309","Jalen Brunson","PG","26","NYK","68","68","35","8.6","17.6","0.491","2","4.7","0.416","6.7","12.8","0.519","0.547","4.8","5.8","0.829","0.6","3","3.5","6.2","0.9","0.2","2.1","2.2","24"
"310","Thomas Bryant","C","25","TOT","59","26","18.3","3.9","6.3","0.623","0.4","1","0.441","3.5","5.3","0.658","0.659","1.6","2.1","0.738","1.5","4.3","5.7","0.5","0.3","0.5","0.6","1.7","9.8"
"311","Thomas Bryant","C","25","LAL","41","25","21.4","4.8","7.3","0.654","0.5","1.2","0.44","4.3","6.1","0.697","0.691","2","2.6","0.741","1.6","5.2","6.8","0.7","0.3","0.6","0.7","1.9","12.1"
"312","Thomas Bryant","C","25","DEN","18","1","11.4","1.8","3.8","0.485","0.2","0.5","0.444","1.6","3.3","0.492","0.515","0.7","1","0.722","1.1","2.3","3.3","0.1","0.1","0.4","0.6","1.4","4.6"
"313","Reggie Bullock","SF","31","DAL","78","55","30.3","2.5","6","0.409","1.9","5.1","0.38","0.5","0.9","0.562","0.569","0.3","0.5","0.703","0.4","3.2","3.6","1.4","0.7","0.2","0.5","2.1","7.2"
"314","Alec Burks","SG","31","DET","51","8","22","3.9","9","0.436","1.9","4.7","0.414","2","4.3","0.459","0.544","3","3.7","0.814","0.4","2.7","3.1","2.2","0.7","0.2","1.1","1.9","12.8"
"315","Deonte Burton","SG","29","SAC","2","0","3","0","1","0","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Jared Butler","SG","22","OKC","6","1","12.8","2.5","5.3","0.469","1.2","2.3","0.5","1.3","3","0.444","0.578","0","0","0","0.2","0.5","0.7","1.3","0.8","0","0.8","0.8","6.2"
"317","Jimmy Butler","SF","33","MIA","64","64","33.4","7.5","13.9","0.539","0.6","1.6","0.35","6.9","12.3","0.564","0.56","7.4","8.7","0.85","2.2","3.7","5.9","5.3","1.8","0.3","1.6","1.3","22.9"
"318","John Butler","C","20","POR","19","1","11.6","0.9","2.8","0.321","0.4","1.8","0.229","0.5","0.9","0.5","0.396","0.2","0.2","0.75","0.2","0.7","0.9","0.6","0.4","0.5","0.1","1.2","2.4"
